,SpeedMinimum,SpeedQ1,SpeedMedian,SpeedQ3,DistanceStartShapeCurvature,DistStartTrendAngle,DistStartTrendDevAmplitude,MaxDistPort,MinDistPort
3908,0.7,5.54,6.35,6.9,1.04,0.1,6.18,49.78,41.69
4311,0.01,0.12,0.17,0.21,8.71,0.0,0.03,0.38,0.34
651,0.01,0.06,0.08,0.09,23.56,0.0,0.01,0.24,0.23
4852,9.37,16.88,17.38,17.69,1.0,0.3,0.82,21.52,15.92
3335,0.99,2.16,2.3,2.43,1.01,0.04,0.15,18.94,17.83
799,0.01,0.03,0.04,0.05,40.1,0.0,0.0,0.35,0.35
6075,1.5,2.05,2.62,8.16,1.04,0.03,2.16,26.01,22.93
1710,11.3,15.28,15.58,16.0,1.0,0.23,4.74,25.29,2.02
1043,0.73,13.88,15.13,15.49,1.02,0.26,6.48,27.12,0.01
4486,8.79,13.34,14.69,15.74,1.0,0.24,1.26,22.02,4.95
562,0.01,0.07,0.09,0.11,43.94,0.0,0.0,0.24,0.23
95,15.58,15.9,16.03,16.41,1.0,0.27,0.84,23.28,12.14
3228,0.06,0.1,0.12,0.14,40.71,0.0,0.01,0.32,0.31
1050,11.09,16.02,16.68,17.4,1.0,0.27,4.27,58.4,10.69
4947,1.45,2.12,2.53,6.02,1.03,0.07,4.4,150.6,149.06
2890,0.01,0.1,0.12,0.18,31.44,0.0,0.01,0.42,0.41
5575,1.31,4.83,5.14,6.36,2.67,-0.01,5.91,27.44,19.86
5150,1.26,1.57,1.85,8.59,1.3,0.02,16.26,15.44,3.69
2533,2.84,5.73,6.08,6.6,1.18,0.08,8.04,26.59,21.32
3733,1.29,2.39,4.94,5.66,1.06,0.07,2.29,25.45,24.15
461,0.01,0.04,0.06,0.07,31.04,0.0,0.0,0.39,0.39
1455,1.33,2.21,2.43,2.62,1.0,0.04,0.15,47.67,44.03
4959,13.22,16.59,18.73,19.46,1.0,0.31,0.97,35.51,30.71
314,0.04,0.09,0.14,14.9,1.01,0.03,11.25,12.92,0.07
5386,6.8,10.19,11.12,11.95,1.0,0.13,13.2,31.89,3.86
1620,0.7,1.09,1.3,2.72,1.98,0.01,3.15,33.27,30.72
1234,0.66,1.1,1.51,4.7,1.01,0.03,1.47,33.65,29.87
4674,10.59,16.97,17.79,18.55,1.0,0.3,0.31,18.71,12.13
3760,2.77,5.44,5.69,5.96,1.48,0.02,5.29,103.96,95.1
5483,4.51,4.95,5.01,5.19,1.0,0.06,1.99,26.96,23.09
3188,15.85,16.51,16.65,17.03,1.0,0.29,0.44,30.71,12.15
2182,3.5,4.99,5.44,5.88,1.03,0.06,1.65,27.08,22.05
552,12.85,14.24,14.48,14.86,1.0,0.25,0.54,35.07,28.25
1177,12.98,14.67,15.15,16.09,1.0,0.25,0.4,12.86,3.69
5139,0.04,1.24,1.35,2.14,1.03,0.06,16.3,15.22,0.22
3671,3.9,5.11,7.35,13.48,1.0,0.09,2.32,41.51,30.22
1984,0.01,0.11,0.15,0.2,1.09,0.0,4.28,4.2,0.01
4193,4.76,8.27,8.45,8.57,1.0,0.15,0.36,29.63,17.66
3491,1.5,2.24,2.56,2.95,1.03,0.04,2.12,26.01,20.61
3253,12.09,16.52,16.98,17.45,1.0,0.29,0.06,26.03,24.94
4488,0.04,15.52,15.74,16.11,1.0,0.26,14.59,25.84,0.26
5927,9.55,11.54,12.18,14.15,1.0,0.22,2.99,34.9,24.58
6051,2.02,14.61,14.95,15.31,1.0,0.26,1.8,29.83,4.03
5029,9.91,15.3,16.11,17.39,1.0,0.27,3.08,50.05,5.99
117,2.01,2.38,2.71,3.14,1.0,0.08,0.9,56.63,42.05
2830,12.43,15.0,15.79,16.51,1.0,0.25,1.76,44.31,26.01
2809,0.17,0.27,0.33,0.4,46.01,0.0,0.02,0.46,0.44
3432,0.0,0.1,0.13,0.17,26.44,0.0,0.01,0.34,0.33
3571,0.01,0.12,0.19,0.35,3.31,0.0,0.14,0.33,0.22
4725,7.15,13.25,17.3,18.3,2.43,-0.1,17.7,41.79,26.29
2177,4.13,11.6,12.86,14.08,1.0,0.22,1.58,34.45,17.94
2453,2.12,4.47,5.28,5.68,3.69,0.0,3.39,20.11,17.71
1544,1.2,1.83,2.29,2.55,1.0,0.04,0.19,62.45,57.46
1067,13.64,14.43,14.86,15.44,1.0,0.25,0.51,32.4,13.3
3606,0.04,0.12,0.15,0.19,3.43,0.0,0.1,0.33,0.22
4359,9.82,16.61,16.94,17.48,1.0,0.29,1.35,24.15,5.0
2070,2.63,5.14,5.6,6.12,1.02,0.07,1.77,95.03,94.28
6017,0.59,0.93,1.02,3.45,1.86,0.0,4.88,13.89,10.33
556,0.0,0.04,0.05,0.06,2.32,0.0,0.07,0.3,0.23
3998,4.18,11.13,13.19,14.14,1.0,0.24,10.14,47.97,32.51
2259,2.47,4.64,5.13,5.78,4.19,0.0,2.46,20.32,17.31
1002,0.07,0.14,0.19,0.23,45.18,0.0,0.01,0.35,0.34
1176,12.98,14.66,15.15,16.07,1.0,0.25,2.3,38.77,3.69
5633,0.02,0.2,0.25,0.32,4.7,0.0,0.15,0.45,0.37
4412,9.9,13.2,13.68,14.72,1.0,0.24,1.89,14.79,1.42
3585,0.07,12.08,13.15,13.54,1.01,0.19,8.42,24.88,0.01
5457,3.17,5.05,5.42,5.62,4.61,0.0,3.16,20.05,17.77
543,1.49,4.53,5.12,5.38,1.06,0.06,2.87,62.66,51.55
5061,5.57,10.09,10.63,11.09,1.0,0.18,0.91,72.33,50.7
4820,15.69,17.18,17.61,17.89,1.0,0.28,0.71,86.46,51.47
1471,0.89,1.01,2.18,4.21,1.11,-0.02,6.37,46.43,43.28
4466,4.98,6.87,7.2,7.41,1.0,0.12,0.58,15.65,4.29
3654,0.0,0.08,0.12,0.17,13.64,0.0,0.01,0.33,0.31
5791,5.24,6.26,6.49,6.77,1.0,0.08,0.44,29.86,27.82
1346,1.19,1.55,1.75,2.49,1.0,0.03,0.32,25.25,20.06
3829,8.74,12.55,12.81,13.26,1.0,0.22,0.53,28.2,17.04
2764,0.14,0.25,0.31,0.4,30.77,0.0,0.03,0.45,0.43
953,0.06,0.15,0.2,0.29,16.72,0.0,0.04,0.38,0.34
788,0.0,0.03,0.04,0.06,16.99,0.0,0.0,0.36,0.36
5612,9.9,13.74,14.64,16.72,1.09,0.09,16.76,31.08,12.39
1940,2.94,4.32,4.72,5.09,1.0,0.07,0.37,100.82,93.1
4085,2.28,4.76,6.68,8.67,1.0,0.12,2.84,63.71,61.41
5572,3.06,5.89,6.16,6.65,1.64,-0.01,4.92,24.63,20.89
1191,13.61,15.52,16.03,16.58,1.0,0.27,0.88,30.98,4.78
3855,2.8,5.58,6.47,6.61,1.0,0.1,0.56,61.8,50.31
3009,0.04,0.1,0.12,0.15,35.15,0.0,0.01,0.39,0.38
203,11.68,14.96,15.77,16.42,1.0,0.27,1.34,34.87,1.78
578,0.03,0.06,0.07,0.1,21.72,0.0,0.01,0.24,0.23
1245,0.47,1.51,2.13,3.06,1.25,0.04,2.41,50.68,45.63
5369,5.56,7.35,9.36,10.16,1.0,0.12,11.46,31.45,5.75
3540,0.88,1.86,2.05,2.2,1.01,0.03,0.3,37.61,34.97
3457,2.2,3.25,5.71,6.0,1.17,0.09,5.39,29.61,20.04
5143,0.44,0.97,1.78,10.61,2.1,0.03,2.83,5.52,1.15
2483,1.0,4.79,5.13,5.68,1.47,0.04,6.36,23.89,14.89
1085,11.87,16.01,16.51,17.4,1.0,0.28,0.51,44.56,5.16
1005,0.06,0.13,0.17,0.22,19.32,0.0,0.02,0.37,0.34
5332,3.09,4.84,7.02,10.86,1.11,0.05,1.07,196.52,194.81
3572,0.05,0.13,0.19,0.31,4.14,0.0,0.13,0.33,0.22
6126,9.25,10.74,11.94,12.52,1.0,0.17,2.37,34.75,25.65
435,1.72,3.84,4.59,5.36,1.14,0.09,4.56,50.58,35.45
269,0.0,0.07,0.09,0.11,3.4,0.0,0.05,0.36,0.32
2921,0.0,0.09,0.11,0.14,20.17,0.0,0.01,0.39,0.38
817,11.68,16.6,17.67,17.94,1.0,0.31,2.86,30.49,16.17
4400,14.4,15.09,15.45,15.77,1.0,0.26,0.44,31.27,0.58
3055,13.75,14.71,15.99,16.73,1.0,0.27,0.39,32.44,26.92
2132,2.46,4.28,4.75,5.55,1.35,0.03,3.0,84.9,80.21
658,13.23,14.03,14.29,14.51,1.0,0.25,1.6,33.04,16.07
1329,0.0,4.38,14.72,15.49,1.05,0.2,25.55,13.9,0.01
4160,5.77,10.27,10.52,10.87,1.0,0.18,7.27,40.34,30.75
636,0.01,0.05,0.07,0.1,29.31,0.0,0.01,0.24,0.23
420,0.0,0.03,0.04,0.06,17.01,0.0,0.0,0.32,0.32
6108,8.56,9.89,12.12,13.12,1.0,0.16,4.95,37.45,16.65
245,0.07,0.13,0.15,0.19,57.41,0.0,0.01,0.34,0.33
2337,3.15,4.9,5.42,5.88,3.4,0.0,3.61,20.25,17.5
5925,5.15,10.38,10.88,11.45,1.0,0.18,2.21,36.13,24.58
4026,7.3,10.96,11.09,11.27,1.0,0.19,0.75,20.59,6.71
2568,3.31,5.59,5.91,6.22,1.57,-0.02,7.68,27.44,21.35
3079,2.19,4.96,5.02,5.16,1.21,0.03,3.46,21.47,14.27
3750,0.93,4.85,5.23,5.68,1.01,0.08,1.82,29.68,24.6
5556,7.57,14.05,15.23,16.49,1.0,0.26,2.2,34.3,4.18
3723,3.01,4.31,5.65,6.12,1.02,0.06,1.46,28.25,24.66
6113,0.01,0.06,0.11,1.95,1.14,0.0,2.47,2.43,0.0
253,0.08,0.15,0.2,14.43,1.01,0.08,11.74,17.12,0.03
1643,1.51,2.02,2.48,2.64,1.0,0.04,0.38,57.0,50.43
1114,14.57,15.31,15.82,16.6,1.0,0.27,0.98,51.98,15.75
3472,0.97,1.7,1.93,2.23,1.03,0.02,1.06,31.01,29.99
5473,1.64,5.1,5.24,5.41,6.23,0.0,2.0,20.23,17.78
1737,0.68,1.87,2.16,2.45,1.1,0.02,6.67,40.94,36.26
5439,4.6,12.84,13.57,15.45,1.0,0.24,8.2,34.15,26.86
5833,3.03,14.17,15.03,15.35,1.0,0.25,6.15,25.16,4.64
1012,0.0,0.07,0.09,0.12,18.38,0.0,0.01,0.38,0.37
3732,1.47,3.23,3.46,3.9,1.34,0.03,2.35,30.58,27.25
4659,1.66,2.16,2.31,2.54,1.06,0.09,4.2,11.43,8.55
4640,0.72,1.73,1.97,2.28,1.02,0.04,0.76,19.69,13.79
5954,9.26,12.56,13.03,13.38,1.0,0.22,1.99,35.3,23.01
1865,0.0,0.07,0.1,0.14,44.42,0.0,0.0,0.36,0.36
156,3.16,4.65,4.88,5.19,1.0,0.08,0.66,73.92,60.73
624,0.04,0.11,0.13,0.15,50.4,0.0,0.01,0.24,0.23
5291,0.0,0.01,0.05,0.06,5.37,0.0,0.0,0.36,0.36
500,0.01,0.03,0.03,0.04,20.95,0.0,0.0,0.37,0.37
726,0.01,0.03,0.04,0.05,35.31,0.0,0.0,0.36,0.36
2364,1.74,4.62,4.99,5.55,1.05,0.05,3.35,25.85,21.43
5009,3.49,4.31,9.7,16.0,1.0,0.15,3.71,9.65,3.7
1691,1.96,2.07,2.62,3.3,1.63,0.02,3.31,20.46,17.76
3850,1.14,5.29,10.93,12.6,1.57,0.05,4.14,58.28,49.03
3520,1.1,3.12,3.42,3.9,1.45,-0.01,7.14,47.38,41.16
1835,12.58,14.47,15.21,16.19,1.02,0.26,11.88,51.36,21.76
6237,1.75,5.04,7.12,7.99,1.51,0.0,3.66,29.65,24.42
18,0.02,0.05,0.08,0.1,49.48,0.0,0.0,0.32,0.32
2933,0.03,0.1,0.13,0.15,52.53,0.0,0.0,0.39,0.38
5740,0.12,0.27,1.17,8.62,1.08,0.05,13.33,17.95,0.03
2115,0.06,0.16,0.22,0.32,2.21,0.0,0.26,0.38,0.21
5153,7.66,13.72,14.02,14.7,2.78,0.03,14.84,15.83,3.65
3484,11.43,15.78,15.97,16.47,1.24,0.22,11.97,35.79,18.85
2149,2.91,4.35,4.66,5.01,1.3,0.01,2.1,34.16,29.71
3985,2.6,3.54,4.23,7.77,1.84,0.01,3.12,64.39,59.36
2585,11.55,12.23,12.88,14.45,1.0,0.22,2.59,32.21,8.29
1237,1.05,1.83,2.19,2.7,2.27,0.02,2.74,35.62,33.6
507,1.12,14.42,15.94,17.88,1.0,0.17,14.59,48.07,30.62
4722,1.74,8.7,11.11,13.31,1.0,0.13,10.61,61.03,46.9
88,1.43,2.13,4.84,5.88,1.01,0.09,0.51,60.85,50.48
1892,12.96,14.44,16.2,17.65,1.0,0.27,1.0,34.87,30.17
6064,0.0,0.03,0.06,0.11,11.18,0.0,0.01,0.34,0.33
470,0.02,0.04,0.05,0.07,28.38,0.0,0.0,0.39,0.39
3263,10.92,13.9,14.76,15.25,1.0,0.25,1.38,34.93,25.67
5176,3.31,14.46,15.46,16.56,1.74,0.07,5.57,8.99,0.1
2211,2.23,4.17,4.33,4.66,1.16,0.01,3.99,23.46,15.42
2604,3.87,5.35,5.7,5.98,1.68,-0.03,8.74,25.71,21.33
5269,8.14,15.02,15.37,15.71,1.0,0.27,0.53,33.93,12.87
2617,1.14,4.36,4.61,4.89,1.37,0.07,8.9,27.6,21.09
9,0.01,0.05,0.09,0.14,30.97,0.0,0.0,0.32,0.32
439,3.84,4.69,4.91,5.23,1.0,0.08,0.16,52.05,37.71
5161,0.23,0.76,11.69,14.45,2.95,0.01,5.48,13.77,4.55
4544,0.42,1.36,1.83,2.07,1.99,0.0,3.88,38.94,33.96
3526,0.77,1.91,2.2,2.46,1.03,0.03,0.64,37.25,31.43
4637,1.23,1.92,2.24,2.42,3.27,-0.02,3.93,21.98,19.57
1837,2.09,2.84,3.81,4.22,1.0,0.05,1.61,67.41,59.95
1082,12.67,14.2,14.42,14.71,1.0,0.25,2.53,46.97,14.08
34,3.75,4.44,5.03,14.39,1.47,-0.05,10.33,53.98,44.73
3592,0.01,11.94,12.42,12.77,1.01,0.13,12.86,17.04,0.08
5561,3.87,5.34,5.7,5.99,1.82,-0.04,8.3,25.71,21.33
1864,0.01,0.06,0.1,0.14,47.76,0.0,0.0,0.36,0.36
2455,3.93,4.77,5.16,5.46,3.27,0.01,3.61,19.94,17.8
285,0.04,0.12,0.16,0.19,78.06,0.0,0.0,0.32,0.31
6177,5.3,5.85,6.1,6.34,1.0,0.09,0.39,186.64,185.07
3538,0.91,1.9,2.04,2.18,1.0,0.03,0.18,35.93,33.34
3365,0.3,2.09,2.35,2.58,1.05,0.04,1.5,31.04,27.8
2402,1.31,4.83,5.17,5.55,3.04,0.0,2.95,20.08,17.78
481,0.02,0.05,0.05,0.07,43.31,0.0,0.0,0.39,0.39
2828,12.43,15.31,15.77,16.67,1.0,0.27,2.58,34.22,25.08
3108,0.93,5.81,6.11,6.55,1.78,-0.08,12.74,22.19,21.03
3407,1.37,1.88,2.04,2.23,1.17,0.03,1.84,27.25,24.77
942,0.04,0.11,0.16,0.21,25.12,0.0,0.01,0.36,0.34
565,0.04,0.07,0.09,0.1,48.78,0.0,0.0,0.24,0.23
6160,4.82,5.14,5.39,6.05,1.48,0.09,5.87,39.9,36.91
3509,0.97,2.21,2.44,2.8,1.02,0.04,1.68,33.06,29.96
104,0.05,0.11,0.13,0.16,45.29,0.0,0.01,0.36,0.35
1829,0.0,0.09,0.13,0.18,66.33,0.0,0.0,0.23,0.22
1688,2.2,16.42,16.76,17.17,1.25,0.19,14.59,35.0,20.26
188,0.05,0.08,0.1,0.13,21.85,0.0,0.0,0.32,0.32
342,0.04,0.09,0.12,0.15,30.98,0.0,0.01,0.33,0.32
5603,9.37,15.52,16.02,17.71,1.0,0.28,1.95,33.94,21.35
1464,0.46,1.36,1.98,2.25,1.02,0.03,1.04,57.26,51.8
3930,0.04,0.07,0.11,3.11,1.06,0.01,8.81,9.05,0.01
5820,0.0,12.7,12.94,14.04,1.0,0.21,29.51,10.33,0.21
1824,0.03,0.17,3.75,15.87,1.03,0.08,13.98,18.4,0.01
1816,11.19,15.99,16.12,16.52,1.0,0.28,3.83,16.42,8.84
599,0.05,0.09,0.11,0.13,60.59,0.0,0.0,0.24,0.23
5753,0.01,0.04,0.07,0.08,12.1,0.0,0.0,0.39,0.38
6003,4.01,7.61,7.87,8.36,1.0,0.12,0.21,41.28,28.73
6239,2.55,5.59,7.59,8.07,1.14,0.04,4.12,24.76,19.62
649,0.03,0.07,0.08,0.11,35.14,0.0,0.01,0.24,0.23
2152,3.32,13.74,14.74,15.73,1.0,0.25,3.61,34.17,15.52
5340,2.33,10.66,13.98,14.57,1.38,-0.1,36.06,24.29,4.24
1581,0.9,2.05,2.21,2.38,1.13,-0.03,24.96,27.89,16.18
667,0.01,0.04,0.06,0.07,43.29,0.0,0.0,0.32,0.32
2690,4.17,4.34,4.51,4.77,1.52,0.03,5.21,23.42,15.59
1285,0.25,1.13,3.89,5.06,1.44,0.03,3.29,21.8,17.93
4320,0.01,0.08,0.11,0.13,7.04,0.0,0.03,0.37,0.36
6010,6.13,12.28,12.87,13.26,1.0,0.2,0.98,33.88,6.68
689,0.0,0.02,0.03,0.04,22.85,0.0,0.0,0.36,0.35
2011,0.04,0.09,0.1,0.2,1.21,0.06,3.66,5.38,0.31
1119,13.02,14.4,14.82,14.99,1.0,0.25,0.04,40.12,13.6
6245,2.77,5.34,5.76,7.94,1.19,0.09,7.97,97.93,90.6
4118,0.0,0.01,0.01,0.02,8.8,0.0,0.0,0.36,0.36
3910,3.32,5.6,6.35,6.88,1.0,0.13,2.81,61.41,45.49
1936,2.35,4.58,4.78,5.12,1.0,0.08,0.22,88.5,79.87
538,2.07,4.61,5.0,5.4,1.51,0.06,8.21,46.87,38.32
1875,2.17,3.39,3.52,3.64,1.0,0.06,1.05,85.83,81.32
3255,12.39,13.64,14.0,14.8,1.0,0.23,0.22,40.84,25.08
1786,11.16,15.11,15.57,16.43,1.0,0.26,0.62,45.78,4.74
4694,1.77,17.39,17.82,18.66,1.0,0.29,16.03,44.33,21.11
383,1.43,4.41,4.64,5.58,1.0,0.08,0.88,52.39,37.84
2244,2.61,4.69,5.18,5.64,3.99,0.0,2.86,20.24,17.74
3514,0.96,14.73,15.01,15.37,1.01,0.24,8.76,35.31,27.22
2616,2.48,4.39,4.61,4.89,1.48,0.02,3.04,27.6,21.09
1358,0.62,1.13,1.92,2.05,1.09,-0.02,15.81,71.89,58.39
1670,0.14,1.68,2.32,2.6,1.61,0.02,2.36,40.95,32.89
2214,1.44,4.71,4.82,5.01,1.0,0.06,3.34,22.34,13.82
1848,0.38,0.99,1.41,5.86,1.11,0.03,4.55,76.69,75.6
1500,0.32,1.9,2.28,2.63,1.66,0.02,1.41,42.2,39.49
1248,0.49,1.95,2.5,2.63,1.0,0.04,0.14,53.32,50.68
6174,1.69,3.25,5.84,6.11,1.17,0.06,1.78,186.68,185.71
1662,0.14,0.27,1.66,5.29,1.02,0.02,2.49,32.84,30.56
1542,1.69,2.84,17.04,17.85,1.46,0.12,15.28,50.35,44.42
2975,0.03,0.07,0.09,0.11,27.08,0.0,0.01,0.39,0.38
3151,0.03,0.14,0.18,0.24,4.02,0.0,0.15,0.31,0.17
5997,5.77,8.96,10.84,12.62,1.0,0.15,2.11,35.31,28.44
2102,0.0,13.8,14.3,15.16,1.02,0.25,19.9,17.61,0.01
4663,0.38,1.06,1.88,2.16,1.04,0.01,1.19,17.62,15.68
3914,8.66,15.85,16.34,16.81,1.0,0.28,3.09,44.61,19.06
4887,10.45,15.52,15.86,16.58,1.0,0.18,7.75,20.04,2.17
296,0.08,0.14,0.17,0.2,117.43,0.0,0.0,0.31,0.3
5376,1.87,4.95,5.17,5.36,5.59,0.0,2.37,19.93,17.78
4344,7.68,15.7,15.92,16.43,1.0,0.28,6.5,10.69,0.3
1123,11.04,13.52,13.92,14.41,1.0,0.24,0.45,29.63,12.99
3512,0.49,2.57,14.55,15.26,1.6,0.05,7.71,35.31,32.94
2058,0.0,0.46,9.86,14.94,1.11,0.16,8.13,15.81,0.03
2212,2.58,4.2,4.45,4.77,1.16,0.05,4.0,23.4,13.82
1293,0.5,1.34,1.73,2.32,1.0,0.03,0.42,28.74,26.17
2140,2.91,4.5,5.08,5.33,1.58,0.01,5.88,22.05,14.76
3634,0.06,0.17,0.23,0.29,13.51,0.0,0.05,0.24,0.22
639,0.02,0.07,0.08,0.1,48.0,0.0,0.0,0.24,0.23
4031,8.3,14.32,14.89,15.74,1.0,0.25,1.82,50.67,44.82
3241,0.01,0.02,0.03,0.04,1.22,0.0,0.3,0.36,0.06
893,0.0,14.6,15.96,17.24,1.0,0.19,29.36,7.1,0.02
6200,0.01,12.2,12.39,12.73,1.0,0.21,16.43,18.79,0.24
5558,4.94,10.93,13.45,13.92,1.0,0.21,10.24,32.73,26.81
1531,1.25,1.8,2.16,2.44,1.0,0.04,0.37,37.12,32.3
4891,9.11,17.43,17.66,17.95,1.0,0.29,6.22,24.0,2.21
5942,0.0,0.05,0.07,0.12,9.17,0.0,0.02,0.24,0.24
4247,0.01,0.07,0.11,0.15,4.31,0.0,0.06,0.38,0.32
5607,11.39,12.62,14.02,15.09,1.0,0.22,5.76,35.31,0.73
1141,12.25,13.39,13.65,14.11,1.0,0.23,1.83,41.56,12.77
233,0.06,0.11,0.14,0.18,45.57,0.0,0.01,0.34,0.33
4828,10.25,13.36,13.82,14.35,1.0,0.23,4.69,27.47,18.44
271,0.0,0.1,0.12,0.15,22.24,0.0,0.0,0.32,0.32
813,12.83,13.79,14.11,14.55,1.0,0.25,1.36,35.86,28.55
1456,1.09,2.33,2.47,2.73,1.0,0.04,0.13,46.98,42.68
5326,4.21,4.38,4.47,4.8,1.0,0.07,0.03,217.57,216.52
3925,6.69,7.73,8.24,9.09,1.0,0.18,1.57,24.16,0.16
6032,0.67,2.14,2.38,2.61,2.74,0.0,2.56,16.47,14.54
5464,3.79,5.05,5.16,5.33,4.31,0.0,2.7,20.29,17.73
1275,0.41,1.63,1.97,2.43,1.46,0.01,6.14,24.08,21.33
2252,2.47,4.66,5.51,6.0,3.89,0.0,3.41,19.98,17.43
5957,10.01,11.94,12.94,13.46,1.0,0.22,1.0,35.53,23.65
2087,0.0,0.03,0.05,12.74,1.02,0.01,3.24,3.69,0.03
1380,0.63,1.75,2.21,2.7,1.21,0.03,1.81,19.01,13.28
4836,7.23,12.01,12.43,13.08,1.0,0.21,0.78,63.18,45.66
1680,0.71,1.86,2.45,15.98,2.03,0.01,4.09,41.33,34.71
57,0.01,0.04,0.06,0.1,18.92,0.0,0.01,0.32,0.32
4138,4.79,9.37,9.91,10.8,1.0,0.16,0.23,37.34,20.5
4068,0.0,0.04,0.05,0.06,9.49,0.0,0.01,0.4,0.39
1922,1.71,2.72,4.65,5.17,1.0,0.08,0.56,98.52,84.12
2572,0.85,3.25,4.88,5.36,1.59,0.02,1.95,25.51,21.65
2355,12.01,13.45,13.83,14.25,1.0,0.24,0.28,36.27,28.03
6123,0.05,0.12,0.16,6.76,1.04,0.01,6.07,6.75,0.04
3987,5.48,7.8,10.07,11.77,1.07,0.06,3.99,50.46,43.03
2350,1.58,4.68,5.01,5.48,3.92,0.0,2.94,20.33,17.78
2624,2.35,4.13,4.27,4.51,1.02,0.04,4.17,26.55,16.75
1419,0.65,1.82,2.11,2.37,1.33,0.03,1.8,43.92,38.19
1250,1.03,2.01,2.09,2.29,1.0,0.03,0.34,46.15,40.11
2147,0.93,3.66,4.02,4.8,1.12,0.04,1.48,30.76,25.52
261,0.0,0.03,0.05,0.06,21.25,0.0,0.0,0.36,0.36
